Country,Happiness,Homicide,
Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,
Samoa,,Samoa,
San Marino,,San Marino,
Sao Tome and Principe,,Sao Tome and Principe,
Saudi Arabia,Saudi Arabia,Saudi Arabia,
Senegal,Senegal,Senegal,
Serbia,Serbia,Serbia,
Seychelles,,Seychelles,
Sierra Leone,Sierra Leone,Sierra Leone,
Singapore,Singapore,Singapore,
Slovakia,Slovakia,Slovakia,
Slovenia,Slovenia,Slovenia,
Solomon Islands,,Solomon Islands,
Somalia,Somalia,,
South Africa,South Africa,South Africa,
South Korea,South Korea,,
South Sudan,South Sudan,South Sudan,
Spain,Spain,Spain,
Sri Lanka,Sri Lanka,Sri Lanka,
State of Palestine,,State of Palestine,
Sudan,Sudan,,
Suriname,Suriname,Suriname,
Swaziland,Swaziland,,
Sweden,Sweden,Sweden,
Switzerland,Switzerland,Switzerland,
Syria,Syria,Syrian Arab Republic,
Taiwan,Taiwan,,
Taiwan Province of China,Taiwan Province of China,,
Tajikistan,Tajikistan,Tajikistan,
Tanzania,Tanzania,,
Thailand,Thailand,Thailand,
Timor-Leste,,Timor-Leste,
Togo,Togo,,
Tonga,,Tonga,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,
Turkmenistan,Turkmenistan,Turkmenistan,
Turks and Caicos Islands,,Turks and Caicos Islands,
Tuvalu,,Tuvalu,
Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom,United Kingdom,
United Republic of Tanzania,,United Republic of Tanzania,
United States of America,United States,United States of America,
United States Virgin Islands,,United States Virgin Islands,
Uruguay,Uruguay,Uruguay,
Uzbekistan,Uzbekistan,Uzbekistan,
Vanuatu,,Vanuatu,
Venezuela,Venezuela,Venezuela (Bolivarian Republic of),
Vietnam,Vietnam,Viet Nam,
Yemen,Yemen,Yemen,
Zambia,Zambia,Zambia,
Zimbabwe,Zimbabwe,Zimbabwe,
